"Player Details","","","","","","Route Share","","","","","","","","","","","","","","","","","",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","TM RTE %"
"106","Cedric Tillman","CLV","WR","13","2025","91.7","86.3","71.1","23.7","","","","","","67.4","69.7","52.4","60.0","55.3","2.4","37.8","53.6","73.3","58.2"
"107","Calvin Austin","PIT","WR","14","2025","73.5","87.2","70.8","64.0","","","","79.5","59.0","79.4","36.4","52.9","52.0","40.0","40.0","22.2","","60.0","58.0"
"108","Chig Okonkwo","TEN","TE","17","2025","76.5","70.7","57.8","56.7","54.8","59.1","53.8","51.2","57.7","","58.1","62.0","50.0","48.3","55.2","51.6","63.0","54.3","57.9"
"109","Chimere Dike","TEN","WR","17","2025","14.7","39.0","33.3","26.7","38.1","56.8","66.7","86.0","92.3","","25.6","86.0","78.6","75.9","72.4","45.2","78.3","68.6","57.9"
"110","Kendrick Bourne","SF","WR","16","2025","","53.5","73.8","65.0","76.0","80.9","75.0","77.8","75.0","59.0","11.1","6.1","31.3","","45.9","80.6","21.1","56.3","57.1"
"111","Ray-Ray McCloud","ATL, NYG","WR","6","2025","76.6","25.0","60.0","35.7","","","","","87.2","34.9","","","","","","","","","56.6"
"112","Marquise Brown","KC","WR","16","2025","93.6","78.9","75.6","52.5","54.3","52.6","45.0","47.5","50.0","","34.7","42.6","37.5","42.9","","58.1","64.0","77.5","56.2"
"113","Albert Okwuegbunam","LV","TE","1","2025","","","","","56.1","","","","","","","","","","","","","","56.1"
"114","Treylon Burks","WAS","WR","8","2025","","","","","","","","","37.1","50.0","","","67.3","25.0","26.9","84.0","77.8","75.0","55.5"
"115","Christian Kirk","HST","WR","13","2025","","","69.8","62.5","54.3","","","","70.2","44.9","55.3","38.7","45.9","42.9","37.5","55.6","60.7","70.6","54.9"
"116","Gabe Davis","BUF","WR","6","2025","","","","","","","","","","","43.8","48.9","63.0","61.1","","","31.0","93.3","54.7"
"117","Isaiah Bond","CLV","WR","16","2025","22.9","39.2","55.3","71.1","75.0","86.2","56.5","44.7","","","45.5","42.9","36.7","53.2","73.8","54.1","32.1","63.3","54.3"
"118","Matthew Golden","GB","WR","14","2025","52.2","64.7","74.2","65.2","","65.6","75.8","70.3","39.5","","37.9","","","15.4","37.0","25.8","56.3","88.2","54.3"
"119","Chase Brown","CIN","RB","17","2025","42.9","45.8","32.3","58.6","42.2","45.7","51.0","33.3","82.0","","82.9","71.8","52.1","48.6","65.9","47.2","56.1","50.0","54.2"
"120","Tory Horton","SEA","WR","8","2025","56.0","48.6","61.9","36.7","47.1","58.6","51.4","","83.3","","","","","","","","","","54.1"
"121","Tyler Lockett","LV, TEN","WR","17","2025","70.6","43.9","57.8","86.7","35.7","34.1","23.1","","27.9","65.7","44.9","69.6","64.3","71.1","83.3","30.8","60.0","67.7","54.0"
"122","Jahmyr Gibbs","DET","RB","17","2025","60.5","51.7","51.7","55.6","46.4","45.2","44.1","","38.1","37.1","64.1","55.6","51.6","65.7","69.0","68.4","35.3","57.8","53.8"
"123","David Njoku","CLV","TE","12","2025","79.2","68.6","73.7","68.4","77.8","41.4","","52.6","","48.8","54.5","28.6","36.7","6.4","","","","","53.6"
"124","Van Jefferson","TEN","WR","16","2025","8.8","22.0","31.1","40.0","11.9","72.7","76.9","81.4","80.8","","81.4","78.0","69.0","62.1","48.3","64.5","26.1","","53.4"
"125","Isaiah Likely","BLT","TE","14","2025","","","","47.5","42.9","80.0","","56.0","48.1","45.5","61.3","44.8","52.6","45.2","38.9","50.0","62.5","61.9","53.3"
"126","Calvin Ridley","TEN","WR","7","2025","91.2","78.0","80.0","40.0","78.6","6.8","","","","","2.3","","","","","","","","53.0"
"127","Darren Waller","MIA","TE","9","2025","","","","37.0","65.0","75.0","16.7","","","","","","65.5","54.5","63.6","51.6","44.0","","53.0"
"128","Jayden Higgins","HST","WR","17","2025","38.2","36.7","27.9","34.4","45.7","","57.4","78.6","40.4","49.0","53.2","67.7","62.2","51.4","62.5","63.9","42.9","85.3","52.8"
"129","Evan Engram","DEN","TE","16","2025","30.2","46.9","","59.1","53.5","45.5","58.5","55.2","66.7","66.7","56.1","","68.8","58.1","33.3","53.1","36.4","51.5","52.7"
"130","Jayden Reed","GB","WR","7","2025","52.2","5.9","","","","","","","","","","","","65.4","67.4","83.9","56.3","23.5","52.6"
"131","Josh Palmer","BUF","WR","12","2025","67.3","61.3","43.8","35.7","51.3","14.7","","","","","46.9","55.6","","","45.5","69.6","50.0","83.3","52.3"
