"Player Details","","","","","","Weeks","","","","","","","","","","","","","","","","","","Fantasy Points",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","FP/G","FP"
"92","Joe Flacco","CLV, CIN","QB","13","2025","14.2","10.8","4.7","4.3","","18.8","26.0","24.3","33.7","","10.9","10.6","","","","0.2","1.2","0.2","12.3","159.7"
"93","Alec Pierce","IND","WR","15","2025","4.6","10.8","10.7","","","6.8","14.8","8.9","17.5","18.4","","3.6","17.8","13.0","2.6","24.6","0.0","29.2","12.2","183.3"
"94","RJ Harvey","DEN","RB","17","2025","7.9","3.4","4.6","19.8","6.0","6.5","7.2","24.1","16.6","3.8","8.0","","21.2","22.0","11.5","22.1","18.6","4.3","12.2","207.6"
"95","TreVeyon Henderson","NE","RB","17","2025","11.1","6.0","7.7","12.6","4.7","4.6","0.5","6.5","12.7","28.0","32.3","11.1","11.6","","30.1","2.2","8.2","17.3","12.2","207.2"
"96","Rome Odunze","CHI","WR","12","2025","15.7","31.8","15.2","16.9","","5.2","5.1","18.4","0.0","20.6","6.1","8.3","2.8","","","","","","12.2","146.1"
"97","Jaylen Waddle","MIA","WR","16","2025","7.0","17.8","14.9","7.8","23.0","15.8","2.5","20.9","14.2","19.4","8.2","","7.0","18.1","4.6","12.2","0.7","","12.1","194.1"
"98","Quinshon Judkins","CLV","RB","14","2025","","10.1","16.5","21.5","13.8","3.6","26.4","4.7","","10.5","5.9","16.7","15.9","9.4","4.7","10.1","","","12.1","169.8"
"99","Shedeur Sanders","CLV","QB","8","2025","","","","","","","","","","","2.5","11.3","10.6","34.5","6.5","13.2","11.4","6.0","12.0","95.9"
"100","Michael Pittman","IND","WR","17","2025","20.0","8.0","19.3","15.1","14.9","4.0","20.8","23.5","20.5","3.9","","13.7","2.3","16.9","5.6","7.2","3.6","3.1","11.9","202.4"
"101","Sam LaPorta","DET","TE","9","2025","13.9","5.6","7.3","6.9","20.2","16.5","4.5","","21.7","10.3","","","","","","","","","11.9","106.9"
"102","DeVonta Smith","PHI","WR","17","2025","4.6","9.3","20.0","4.9","19.4","8.9","33.3","14.4","","16.9","1.8","14.9","9.8","7.7","7.0","16.2","4.5","8.2","11.9","201.8"
"103","Justin Jefferson","MIN","WR","17","2025","14.8","11.1","12.5","22.6","19.3","","12.9","14.4","16.7","7.7","11.1","8.8","2.4","3.1","4.2","14.5","7.0","18.4","11.9","201.5"
"104","Cam Ward","TEN","QB","17","2025","3.5","10.8","13.0","5.5","9.0","9.9","12.2","13.8","6.4","","14.1","23.9","6.3","12.1","15.0","18.0","18.0","9.2","11.8","200.7"
"105","Spencer Rattler","NO","QB","9","2025","11.5","21.7","12.7","13.9","16.1","11.1","14.5","4.6","","","","","","","0.0","","","","11.8","106.1"
"106","Deebo Samuel","WAS","WR","16","2025","22.6","17.4","4.9","20.1","23.6","5.4","","4.2","9.4","12.9","20.7","","11.1","6.7","7.3","6.5","11.3","4.1","11.8","188.2"
"107","Harold Fannin","CLV","TE","16","2025","13.6","9.8","5.5","4.5","11.3","15.1","7.6","18.4","","8.4","4.6","8.4","12.3","25.4","12.0","19.5","11.0","","11.7","187.4"
"108","Jauan Jennings","SF","WR","15","2025","3.6","19.9","","6.4","","1.7","7.1","8.5","14.1","18.1","9.4","15.1","13.9","","18.7","18.1","12.2","7.5","11.6","174.3"
"109","Davis Mills","HST","QB","6","2025","","","","","1.2","","","","6.2","28.7","16.4","14.5","","","","","","2.6","11.6","69.6"
"110","J.K. Dobbins","DEN","RB","10","2025","14.8","15.5","15.3","11.5","15.4","4.0","9.0","14.1","6.9","9.4","","","","","","","","","11.6","115.9"
"111","Philip Rivers","IND","QB","3","2025","","","","","","","","","","","","","","","7.8","18.1","8.8","","11.6","34.7"
