forecast_as_of,family,target,optimizer_success,objective_value,raw_hessian_min_eigenvalue,raw_hessian_max_eigenvalue,nonpositive_eigenvalues,floored_eigenvalues,floored_fraction,stabilized_condition_number,covariance_clipped_eigenvalues,max_covariance_eigenvalue_reduction,optimizer_gradient_norm,status
2025-12-09T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,152.4841214152871,6.246526832118454,213.5472938921211,0,0,0.0,34.18656473131621,0,0.0,4.019436695300226e-06,ok
2025-12-09T16:00:00+00:00,structural_gaussian_map_laplace,total,True,162.2359236957539,24.30353299954612,211.0565775622109,0,0,0.0,8.684193263841617,0,0.0,6.961868575274428e-06,ok
2025-12-09T16:00:00+00:00,structural_student_t_map_laplace,margin,True,153.61042129430086,1.2583908461969926,203.219527819629,0,0,0.0,161.49158143813798,0,0.0,2.1078103960255464e-05,ok
2025-12-09T16:00:00+00:00,structural_student_t_map_laplace,total,True,162.92297758174828,1.5041012005188745,176.25886209844552,0,0,0.0,117.18550722361032,0,0.0,0.000457262820552087,ok
2025-12-16T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,152.4841214152871,6.246526832118454,213.5472938921211,0,0,0.0,34.18656473131621,0,0.0,4.019436695300226e-06,ok
2025-12-16T16:00:00+00:00,structural_gaussian_map_laplace,total,True,162.2359236957539,24.30353299954612,211.0565775622109,0,0,0.0,8.684193263841617,0,0.0,6.961868575274428e-06,ok
2025-12-16T16:00:00+00:00,structural_student_t_map_laplace,margin,True,153.61042129430086,1.2583908461969926,203.219527819629,0,0,0.0,161.49158143813798,0,0.0,2.1078103960255464e-05,ok
2025-12-16T16:00:00+00:00,structural_student_t_map_laplace,total,True,162.92297758174828,1.5041012005188745,176.25886209844552,0,0,0.0,117.18550722361032,0,0.0,0.000457262820552087,ok
2025-12-23T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,152.4841214152871,6.246526832118454,213.5472938921211,0,0,0.0,34.18656473131621,0,0.0,4.019436695300226e-06,ok
2025-12-23T16:00:00+00:00,structural_gaussian_map_laplace,total,True,162.2359236957539,24.30353299954612,211.0565775622109,0,0,0.0,8.684193263841617,0,0.0,6.961868575274428e-06,ok
2025-12-23T16:00:00+00:00,structural_student_t_map_laplace,margin,True,153.61042129430086,1.2583908461969926,203.219527819629,0,0,0.0,161.49158143813798,0,0.0,2.1078103960255464e-05,ok
2025-12-23T16:00:00+00:00,structural_student_t_map_laplace,total,True,162.92297758174828,1.5041012005188745,176.25886209844552,0,0,0.0,117.18550722361032,0,0.0,0.000457262820552087,ok
2025-12-30T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,216.8311314886508,30.48594055571198,256.035954215658,0,0,0.0,8.398492864202806,0,0.0,2.493994879090275e-05,ok
2025-12-30T16:00:00+00:00,structural_gaussian_map_laplace,total,True,226.0482520607252,28.046318790559784,294.28472361197726,0,0,0.0,10.492811046240822,0,0.0,1.0247593072518957e-05,ok
2025-12-30T16:00:00+00:00,structural_student_t_map_laplace,margin,True,218.20973624943514,1.668140521541819,243.3419184885208,0,0,0.0,145.8761509273848,0,0.0,0.00017977714159687726,ok
2025-12-30T16:00:00+00:00,structural_student_t_map_laplace,total,True,227.56620563239758,2.1579573549770634,259.8295538302326,0,0,0.0,120.40532368768442,0,0.0,1.063442994704862e-05,ok
2026-02-03T16:00:00+00:00,structural_gaussian_map_laplace,margin,True,259.4501762326944,36.83787970344919,306.55579409519544,0,0,0.0,8.321754578792767,0,0.0,8.038873392692236e-06,ok
2026-02-03T16:00:00+00:00,structural_gaussian_map_laplace,total,True,268.9737647702121,47.54026044560071,341.4241897536586,0,0,0.0,7.181790477238612,0,0.0,2.9536706877829047e-05,ok
2026-02-03T16:00:00+00:00,structural_student_t_map_laplace,margin,True,260.9324017450147,1.8156153869464908,291.61676488071373,0,0,0.0,160.61593604973572,0,0.0,0.0003740452456763867,ok
2026-02-03T16:00:00+00:00,structural_student_t_map_laplace,total,True,270.49498090681453,2.1768522790454297,303.43636004414964,0,0,0.0,139.39226054291996,0,0.0,3.113442291619258e-05,ok
