game_id,play_id,season,week,posteam,defteam,play_type,epa,source_posteam,source_defteam,snapshot_id
2025_04_BAL_KC,1194.0,2025,4,BAL,KC,kickoff,-0.7294955812394619,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1235.0,2025,4,BAL,KC,run,0.692897449247539,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1257.0,2025,4,BAL,KC,no_play,-0.6824426390230656,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1281.0,2025,4,BAL,KC,pass,0.7853725738823414,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1306.0,2025,4,BAL,KC,no_play,-0.44993074238300323,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1330.0,2025,4,BAL,KC,pass,-2.2160146140959114,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1364.0,2025,4,BAL,KC,pass,-0.1206604044418782,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1389.0,2025,4,BAL,KC,punt,-0.679824145976454,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1420.0,2025,4,KC,BAL,run,2.148844246927183,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1456.0,2025,4,KC,BAL,run,-0.15096231375355273,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1478.0,2025,4,KC,BAL,pass,1.2212337515957188,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1503.0,2025,4,KC,BAL,run,-0.07497153070289642,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1525.0,2025,4,KC,BAL,pass,1.5467303372861352,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1551.0,2025,4,KC,BAL,extra_point,0.06757300310763314,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1566.0,2025,4,BAL,KC,kickoff,0.5800391564844176,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1601.0,2025,4,BAL,KC,pass,-0.4834619484608993,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1636.0,2025,4,BAL,KC,pass,-0.5754809335339814,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1659.0,2025,4,BAL,KC,run,-0.46204214449971914,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
